7: Ground truth-automobile, Test result A-airplane
9318: Ground truth-frog, Test result A-cat
9332: Ground truth-horse, Test result A-dog
9354: Ground truth-dog, Test result A-deer
9356: Ground truth-frog, Test result A-cat
9359: Ground truth-bird, Test result A-airplane
9367: Ground truth-bird, Test result A-truck
9381: Ground truth-dog, Test result A-cat
9397: Ground truth-dog, Test result A-bird
9398: Ground truth-bird, Test result A-frog
9405: Ground truth-cat, Test result A-dog
9407: Ground truth-dog, Test result A-cat
9418: Ground truth-deer, Test result A-cat
9451: Ground truth-frog, Test result A-cat
9462: Ground truth-deer, Test result A-frog
9463: Ground truth-bird, Test result A-airplane
9493: Ground truth-truck, Test result A-automobile
9502: Ground truth-frog, Test result A-bird
9508: Ground truth-airplane, Test result A-automobile
9515: Ground truth-dog, Test result A-deer
9516: Ground truth-airplane, Test result A-truck
9519: Ground truth-truck, Test result A-automobile
9529: Ground truth-airplane, Test result A-ship
9554: Ground truth-horse, Test result A-deer
9560: Ground truth-automobile, Test result A-truck
9584: Ground truth-truck, Test result A-airplane
9587: Ground truth-dog, Test result A-cat
9588: Ground truth-horse, Test result A-cat
9591: Ground truth-airplane, Test result A-ship
9608: Ground truth-horse, Test result A-deer
9610: Ground truth-automobile, Test result A-frog
9628: Ground truth-deer, Test result A-dog
9638: Ground truth-dog, Test result A-frog
9645: Ground truth-airplane, Test result A-ship
9648: Ground truth-cat, Test result A-automobile
9657: Ground truth-airplane, Test result A-ship
9666: Ground truth-cat, Test result A-dog
9674: Ground truth-truck, Test result A-horse
9676: Ground truth-deer, Test result A-horse
9677: Ground truth-cat, Test result A-bird
9690: Ground truth-truck, Test result A-dog
9692: Ground truth-frog, Test result A-bird
9694: Ground truth-frog, Test result A-deer
9706: Ground truth-frog, Test result A-deer
9707: Ground truth-truck, Test result A-horse
9736: Ground truth-frog, Test result A-airplane
9738: Ground truth-dog, Test result A-cat
9757: Ground truth-dog, Test result A-truck
9765: Ground truth-bird, Test result A-airplane
9768: Ground truth-bird, Test result A-deer
9771: Ground truth-deer, Test result A-bird
9786: Ground truth-ship, Test result A-airplane
9795: Ground truth-automobile, Test result A-ship
9796: Ground truth-deer, Test result A-dog
9840: Ground truth-cat, Test result A-dog
9842: Ground truth-airplane, Test result A-ship
9843: Ground truth-frog, Test result A-deer
9859: Ground truth-deer, Test result A-frog
9867: Ground truth-automobile, Test result A-deer
9868: Ground truth-ship, Test result A-airplane
9869: Ground truth-truck, Test result A-automobile
9911: Ground truth-deer, Test result A-horse
9920: Ground truth-deer, Test result A-cat
9929: Ground truth-dog, Test result A-bird
9949: Ground truth-ship, Test result A-truck
9964: Ground truth-ship, Test result A-airplane
9968: Ground truth-cat, Test result A-deer
9980: Ground truth-cat, Test result A-dog
9987: Ground truth-ship, Test result A-airplane
9996: Ground truth-ship, Test result A-cat
9999: Ground truth-automobile, Test result A-deer
